ID,Supplier_Code,WTax_Reference
14,301,WC100
15,301,WC120
16,301,WI140
17,302,WC100
18,302,WC120
19,302,WI140
20,303,WC100
21,303,WC120
22,304,WC100
23,304,WC120
24,305,WC100
25,305,WC120
