seq,empposition_code,empposition_name,deletestatus,usertracker,createdtime
13,EP-483135c67edc,SUPER ADMIN,Active,2023116818897449,2023-11-09 16:45:06
18,EP-98a20d353f22,ACCOUNTING,Active,202405218988,2024-07-11 09:12:09
16,EP-9ac1452011d3,MANAGER,Active,202405176188,2024-05-14 17:23:20
9,EP-a3be1f617eca,CASHIER,Active,2023116818897449,2023-11-09 14:38:49
17,EP-a59dad6011d3," WAREHOUSE PERSONNEL",Active,202405176188,2024-05-14 17:23:38
10,EP-a65e201c7eca,DRIVER,Active,2023116818897449,2023-11-09 14:38:53
11,EP-aa45099a7eca,DISPATCHER,Active,2023116818897449,2023-11-09 14:39:00
12,EP-b20aca527eca,STORE ADMIN,Active,2023116818897449,2023-11-09 14:39:13
