ID,transaction_id,Category_Code,Unit_Code,Project_Code,transaction_date,customer_id
1,1000000004,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
2,1000000004,Crab & Crack,BU-fca786ffced3,,2026-03-28,2
3,1000000003,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
4,1000000003,Crab & Crack,BU-fca786ffced3,,2026-03-28,2
5,1000000007,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
6,1000000010,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
7,1000000010,Crab & Crack,BU-fca786ffced3,,2026-03-28,2
8,1000000009,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
9,1000000009,Crab & Crack,BU-fca786ffced3,,2026-03-28,2
10,1000000008,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
11,1000000011,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
12,1000000024,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
13,1000000023,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
14,1000000022,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
15,1000000020,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
16,1000000027,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
17,1000000031,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
18,1000000033,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
19,1000000033,Crab & Crack,BU-fca786ffced3,,2026-03-28,2
20,1000000034,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
21,1000000036,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
22,1000000037,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
23,1000000041,Crab & Crack,BU-fca786ffced3,,2026-03-28,1
24,1000000041,Crab & Crack,BU-fca786ffced3,,2026-03-28,2
25,1000000044,Crab & Crack,BU-fca786ffced3,,2026-03-29,1
26,1000000044,Crab & Crack,BU-fca786ffced3,,2026-03-29,2
27,1000000044,Crab & Crack,BU-fca786ffced3,,2026-03-29,3
28,1000000044,Crab & Crack,BU-fca786ffced3,,2026-03-29,4
29,1000000049,Crab & Crack,BU-fca786ffced3,,2026-03-29,1
30,1000000049,Crab & Crack,BU-fca786ffced3,,2026-03-29,2
