uuid,userid,roleclass,rolename,role_description,deletestatus,usertracker,createtime,payment_amount,payment_reference,payment_mode
RL-71241825bdd144dd7d831293e55cb4db,202603625430,Function,IMS-VIEW PO,IMS-VIEW PO,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-7160a5cad78e458a715b7dd1b051d868,202603625430,Function,DEPOSIT CLEARING,DEPOSIT CLEARING,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-7276483f5b7890347815a4326d5f5c18,202603625430,Route,/salesdashboardsummary,/salesdashboardsummary,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-72f1696275b6bfeeed81021b5ffbb985,202603625430,Route,/spoilages,/spoilages,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-738bc19ceb6e494c9bd8143664c303b6,202603625430,Route,/reportbalancesheet,/reportbalancesheet,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-7b855de98602683917cadf41bbe65f74,202603625430,Route,/pricingbysaletype,/pricingbysaletype,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8070930e43bd4b53011f81d95a210bab,202603625430,Function,ACCTG-ADMIN,ACCTG-ADMIN,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-80b564f0c204af98357190ac1358f8fc,202603625430,Route,/journalvoucher,/journalvoucher,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8287cc45de434868a5e5f807c0a8f60b,202603625430,Function,REPORTS-AREA,REPORTS-AREA,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-828f1831e751cc1ba2a8dadd880151f1,202603625430,Function,ACCTG-REPORTS,ACCTG-REPORTS,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-83d8e9dc3cdbfebb5b3eefa78a708cec,202603625430,Route,/purchaserequest,/purchaserequest,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-83f64c6b1eee5a9b1bf6715afc03c81d,202603625430,Function,HRIS-TEAM PLAYER,HRIS-TEAM PLAYER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
