seq,busunitcode,sales_type_id,pricing_category,deletestatus,usertracker,createdtime
123,BU-fca786ffced3,ST-36d8565b11d5,PC-8618aa530716,Active,202602461836,2026-03-31 02:32:58
124,BU-fca786ffced3,ST-7e22b48a282d,PC-4aec3a9f0717,Active,202602461836,2026-03-31 02:34:31
125,BU-fca786ffced3,ST-ed02eb98496b,PC-435411fb0717,Active,202602461836,2026-03-31 02:32:58
