seq,department_code,department_name,deletestatus,usertracker,createdtime
12,DM-8d427bb611d3,FRESHMART STORE,Inactive,202405176188,2024-05-14 17:22:57
15,DM-a500d0ed3f22,ACCOUNTING DEPARTMENT,Active,202405218988,2024-07-11 09:12:30
13,DM-c152ce2811d3,OPERATIONS,Active,202312591095,2024-05-14 17:24:25
14,DM-c5c577ba11d3,ADMIN,Active,202312591095,2024-05-14 17:24:32
