seq,sales_type_id,description,deletestatus,usertracker,createdtime
32,ST-36d8565b11d5,DINE IN,Active,202405176188,2024-05-14 17:34:51
36,ST-5e28c834ef3a,TAKE OUT,Active,202405218988,2025-02-20 11:25:43
35,ST-79f1946f3043,SALES RETURN,Active,202312591095,2024-06-22 10:59:43
34,ST-7e22b48a282d,GRAB,Active,202404104901,2025-05-03 22:47:10
33,ST-ed02eb98496b,FOOD PANDA,Active,202312591095,2024-07-24 11:22:15
