AutoNum,system_module,system_order
1,Accounting System,200000
2,Vouchering System,300000
3,Sales and Collection,400000
4,Billing and Collection,500000
5,Inventory System,600000
6,Payroll System,700000
7,Point of Sales,800000
8,Fixed Assets Management,900000
9,School Management System,110000
10,Cooperative Management System,120000
