role_id,permission_id,can_access,created_at,updated_at
1,1,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,2,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,3,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,4,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,5,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,6,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,7,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,8,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,9,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,10,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,11,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,12,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,13,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,14,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,15,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,16,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,17,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,18,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,19,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,20,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,21,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,22,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,23,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,24,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,25,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,26,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,27,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,28,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,29,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,30,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,31,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,32,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,33,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,34,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,35,0,2026-08-09 00:00:00,2026-08-09 00:00:00
1,36,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,37,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,38,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,39,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,40,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,41,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,42,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,43,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,44,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,45,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,46,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,47,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,48,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,49,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,50,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,51,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,52,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,53,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,54,1,2026-08-09 00:00:00,2026-08-09 00:00:00
1,55,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,1,1,2026-08-09 00:00:00,2026-08-09 00:00:00
